label,C,E,filteredDmvId,pairStart,Dmod30,P29Survivors,S17Survivors,tail1P29,tail2P29,tail4P29,firstBothG,trueK,K13_430Miss,K13_431Miss,fullCoverageBeforeRescue,verdict,legacyDmvId
small,1040,2080,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.18648800946987515,false,false,false,RESCUED,P|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|5;P|3
small,1041,2082,OPEN_AT_FIRST_SURVIVOR / D16 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,16,0,0,0,0,0,8,0.16572126307975193,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 17|5;3|3
small,1042,2084,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.18638490336521968,false,false,false,RESCUED,3|7 / D18 / P29_LOW / TAIL_WEAK / KLOW / 17|3;3|P
small,1043,2086,P|29 / D0 / P29_LOW / TAIL_WEAK / KLOW,P|29,0,0,2,0,0,0,60,1.2422230433537473,false,false,false,RESCUED,7|7 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|7;5|3
small,1044,2088,OPEN_AT_FIRST_SURVIVOR / D10 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,10,0,0,0,0,0,5,0.10349004456139126,false,false,false,RESCUED,7|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 7|5;3|3
small,1045,2090,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.12415384954690974,false,false,false,RESCUED,5|5 / D12 / P29_LOW / TAIL_WEAK / KLOW / 7|3;3|P
small,1046,2092,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,15,0.31029923111003677,false,false,false,RESCUED,5|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|7;P|3
small,1047,2094,OPEN_AT_FIRST_SURVIVOR / D28 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,28,0,0,0,0,0,14,0.2895330247933095,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 17|7;3|3
small,1048,2096,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,15,0.3101287956683837,false,false,false,RESCUED,3|P / D0 / P29_LOW / TAIL_WEAK / KLOW / 17|3;3|P
small,1049,2098,19|P / D24 / P29_LOW / TAIL_WEAK / KLOW,19|P,24,0,3,0,0,0,102,2.108297516545737,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,1050,2100,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.020663921677074686,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,1051,2102,OPEN_AT_FIRST_SURVIVOR / D24 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,24,0,0,0,0,0,12,0.24789921085124889,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
